tweets_transform,result,polarity
jakarta kehilangan jati ditengah ketua dprd menggempur formula e pdip bangun citra,netral,0.0
nih gk pake apbdcari tau bacot,netral,0.0
nakula motogp formula e sukses bukti indonesia dki level internasional ya perjuangan,positif,0.375
perjuangan dibanding2in biaya motogp formula e ya id jakarta negara saingan propinsi,netral,0.0
nakula wuiih mantab formula e jakarta tonton masyarakat ketimbang mandalika meng,netral,0.0
formula e monas icon jakarta indonesia karna polit,netral,0.0
yg dihabisin yg tdk,netral,0.0
jakpro dpt penugasan panitia lokal formula e ngebut bangun sirkuitkalau lihat keliatan p,netral,0.0
formula e ga terbuka ttg rencana anggarannya commitmen fee ny,netral,0.0
konstruksi sirkuit formula e jakarta capai 879 persen,netral,0.0
maklum bang tahunya jakarta tdk daerah indonesiapadahal,netral,0.0
menyongsong formula e jakarta,positif,0.8
ag4ever sirkuit formula e jakarta salah sirkuit terbaik dunia sirkuit,positif,1.0
ag4ever warga dki jakarta kagak rugi besarnya pajak dihabis,netral,0.0
tau anggaran jakarta gede gitu masak mengutamakan stadion sirkuit f,netral,0.0
keseruan sebentar hadir jakarta formula e juni 2022,positif,0.2
klo dirasa kacau ya bantu biar ga kacauini event international jakarta dunia formula e,negatif,-0.3
modal brp tuh formula e penonton 10000 cuannya hamburin duit rakyat jakarta,netral,0.0
target penonton formula e jakarta turun 10 ribu formulaejakarta,netral,0.0
garansi 423miliar3jakarta bayar mahalnegara gratisselain menduga penyelewengan dananegara,positif,0.4
pinak terheran heranpasalnya pemprov dki menganggarkan 113triliun rupiah utk pelaksanaan formul,netral,0.0
gak sadar sirkuit formula e ibukota jakarta serang jokowi bae,negatif,-0.125
target penonton langsung formula e jakarta menyusut 50000 10000,positif,0.1
gubernurnya ganti gimana nasib formula e diperpanjang hancur tenggelam j,netral,0.0
komite pelaksana formula e jakarta iriawan akibat revisi federasi otomotif internasional fia t,negatif,-0.0625
itungan 80 diluar paddock tribunkok buru2 ngeluarin angka,netral,0.0
jgn kemakan dgn judulnya baca lengkapnya meminimalkan banjir banjir merendam s,positif,0.1
progres pembangunan sirkuit formula e jakarta 879 persen target rampung mundur,netral,0.0
motogp mandalika tuan rumah world sbk tgl 1113 november jakarta juni menjad,netral,0.0
moga ajang formula e jakarta sukses aman lancar biar bangga bangsa indonesia,positif,0.5166666666666667
yg ktitik seputar formula e sajananti formula e selesai ga kerjaannya yabubar sajalahjakarta butuh psi,netral,0.0
kapasitas kursi penonton formula e jakarta mencapai 10 ribu tempovideo,netral,0.0
partai yg maunya asc,netral,0.0
,negatif,
nga sih formula e jakarta ah,netral,0.0
situs resmi formula e memberitakan balapan jalan raya real city street sirkuit ba,positif,0.2
ente hoax cebi baca yg asc,netral,0.0
partai yg maunya asc,netral,0.0
linapr1lia ente hoax cebi baca yg asc,netral,0.0
pembangunan sirkuit formula e jakarta kawasan ancol digeber menjelang 70 pelaksanaan balapan mobil li,netral,0.0
infonya comitmment fee formula e jakarta 150 miliar pertahun negara,netral,0.0
target penonton langsungnya turun 50000 10000 perhelatan ramai kokini jak,positif,0.1
formula e jakartakita intip pakai drone anti sadapdan sebarkan youtube l,netral,0.0
10 irawan sucahyono angka bertambah sesuai perkembangan hasil peni,netral,0.0
9 kapasitas tribune rendah target direktur utama pt jakarta propert,netral,0.0
8 komite pelaksana formula e irawan sucahyono update kapasitas tribun sirkuit formula e dised,netral,0.0
7 pembangunan sirkuit ditargetkan selesai 27 maret 2022 revisi federasi otomotif inte,netral,0.0
6 managing director formula e jakarta pt jakarta propertindo jakpro gunung kartiko pembangunan sirk,netral,0.0
5 pembangunan sirkuit formula e berjalan 25 maret 2022 mencapai 879 persen gt,netral,0.0
4 pertentangan ketua dprd dki jakarta prasetyo edi marsudi pergelaran formula e m,netral,0.0
3 lokasi sirkuit padat tanah berlumpur dulunya dikenal lokasi,netral,0.0
2 pembangunan sirkuit formula e terlepas kontroversi meragukan pemban,netral,0.0
partai yg maunya asc,netral,0.0
1 lokasi sirkuit formula e terletak kawasan ancol resmi ditentukan tanggal 22 desember 202,netral,0.0
threadpotret pembangunan sirkuit formula e ancol jakarta gt formulae jakarta jernihkanharapan,netral,0.0
formula e diadakan dimandalika aja kasihan jakarta konsentrasi aja atasi kemacetan bikin sirkuit,negatif,-0.5
partai yg maunya asc,netral,0.0
konstruksi sirkuit formula e jakarta capai 879 persen,netral,0.0
ente hoax bong baca yg asc,netral,0.0
progres pembangunan sirkuit formula e diklaim mencapai 879 persen ketua fraksi pdip dprd dki jakarta gembong wars,netral,0.0
politisi gerindra syarif mendukung langkah kpk proses penyelidikan penyelenggaraan formula e jakarta namu,netral,0.0
peminjaman dana bank dki jakarta dituntaskan berlarut larut,netral,0.0
konstruksi sirkuit formula e jakarta capai 879 persen,netral,0.0
pembuatan lintasan balap mobil berenergi listrik formula e ancol pademangan jakarta utara dikebut,netral,0.0
asmara1701 akal2an izin jkwbahkan mewujudkan mimpi,netral,0.0
please be informed pengerjaan,netral,0.0
komite pelaksana formula e irawan sucahyono kapasitas tribun sirkuit formula e disediakan unt,netral,0.0
mepet progres pembangunan 87 sirkuit formula e jakarta,netral,0.0
ptpt proyekanak bumddki jakpro jaya konstruksi dllyang swasta nih,netral,0.0
kapasitas kursi penonton formula e jakarta mencapai 10 ribu tempometro,netral,0.0
semoga puasa lebaran alasan molor ya,positif,0.2
id jakarta,netral,0.0
indo formula e prix jakarta layoutnya bagus sih sirkuit formula e kayaknyaaa drpd f1,positif,0.7
gerindra koq kyknya dpt data2 ttg fe pdhl jakarta jakartasusah data tuh,netral,0.0
anggota dprd dki jakarta fraksi partai gerindra syarif berencana mengajak ketua psi giring ganesha kemb,netral,0.0
jakarta yg pimpin anis hambat istnamau ngadain formula e hambat ngga monas,positif,0.8
100 event formula e jakarta,netral,0.0
waras formula e jakarta,netral,0.0
naga2 nya delay negh sirkuit berujung formulae jakartaindonesia batalduh ngenes gegara gubernur pe,netral,0.0
kalah motogp yg dilaksanakan mandalika mandalika yg 60r,netral,0.0
kpk membuka peluang keterangan gubernur dki jakartaanies baswedandalam penyelidikan duga,netral,0.0
sponsor formula e jakarta jakpro aman tempometro,positif,0.5
pembangunan sirkuit formula e jakarta dikebut progres pembangunan sirkuit 879 baga,netral,0.0
schedule sirkuit kelar 1 mei gak molor balapan 4 juni jual tiket 1 bulanan kalo,netral,0.0
tribun penonton paddock sirkuit formula e jakarta ditentukan feo tempometro,netral,0.0
anggota fraksi partai gerindra dprd dki jakarta syarif mengaku mengajak ketua psi giring ganesha mengunju,netral,0.0
konstruksi sirkuit formula e jakarta capai 879 persen,netral,0.0
sirkuit mandalika homologasi sirkuit jakarta formula e hologrambiar ga yg kecewa,positif,0.375
100 event formula e jakarta,netral,0.0
ri laporan saksi formula e ketua dprd dki jakarta yg mempertanyaka,netral,0.0
pembangunan sirkuit formula e kawasan ancol jakarta utara pelaksanaannya pemb,netral,0.0
id meminimalkan banjir merendam sirkuit formula e pemprovdki,netral,0.0
pembangunan sirkuit formula e jakarta capai 879 formulae,netral,0.0
andri 100 event formula e jakarta,netral,0.0
balap mobil listrik formula e jakarta 2022 4 juni 2022,netral,0.0
kpk kabar formula e jakarta informasi selengkapnya kabarbarukasusformulae,positif,0.35
pembangunan sirkuit formula e jakarta capai 879 persen,netral,0.0
felis klo formula e ga komenbermanfaat ga tuh warga jakartamikir,netral,0.0
konstruksi proyek formula e jakarta fasilitas pendukungnya diprediksi rampung 1 mei 2022,positif,0.175
cegah banjir merendam sirkuit formula e pemprov dki jakarta bangun sumur resapan disebar titik d,netral,0.0
simak penuturan vice managing director formula e pt jakarta propertindo jakpro gunung kartiko,netral,0.0
formula e diatas awan balapan ghoib jakarta,netral,0.0
video terbaru nawacita tv kpk periksa dprd jakarta terkait formula e beritaterkini,positif,0.25
anggota fraksi gerindra dprd dki syarif meninjau pembangunan sirkuit formula e kawasan ancol jakarta utara jal,netral,0.0
pembangunan sirkuit formula e jakarta ditargetkan tuntas 1 mei,netral,0.0
ary jack,netral,0.0
ary jack,netral,0.0
asmara1701 pembangunan sirkuit formula e jakarta dipantau kpknggak sabar lihat hasilnyapasti menakjubkan ya guys,positif,0.6000000000000001
pembangunan lintasan formula e molor jakpro pastikan anggaran tambahan,netral,0.0
menengok progres pembangunan lintasan formula e 70 jelang laga dihelat,netral,0.0
pengaspalan sirkuit formula e kawasan ancol jakarta utara molor ditargetkan sirkuitformulae,netral,0.0
om,netral,0.0
komite pelaksana formula e jakarta iriawan akibat revisi target capaian pembangunan semul,negatif,-0.125
sabar tiket formula e jakarta dijual,netral,0.0
tiket formula e jakarta diterbitkan dijual publik,netral,0.0
digelar 4 junipembangunan sirkuit formula e jakarta rampung 879,netral,0.0
pengaspalan sirkuit formula e ancol jakarta utara mencapai 879 persen tempo berkesempatan menyus,netral,0.0
pembangunan lintasan formula e meleset target,netral,0.0
persiapan balapan formula e jakarta lancar sukses,positif,0.15
idha kemajuan era anis rumah dp o gagal ok oce gagal formula e 45 triliun uang rakyat jakarta sumur,negatif,-0.125
bongkar korupsi tubuh pemprov dki surat sakti dr anies pencairan anggaran formula e,netral,0.0
surat sakti yg dikeluarkan gubernur dki jakarta menyalahi aturan sistem pemerintahan diusut,netral,0.0
terungkap kesaktian surat anies baswedan pencairan anggaran formula e persetujuan dprd dki jakarta,netral,0.0
anies nandingi kemeriahan moto gp jakartaoooo mimpi kali ya,netral,0.0
salah alamat deh fia mestinya homologasi formula e jakarta koq mandalika en,negatif,-0.5
surat sakti ala gubernur dki melebihi kesaktian mbak rara bagaiman surat mencairkan anggaran ratus,positif,0.5
buka bursa taruhan formula e jakarta,netral,0.0
pemprov dki tegaskan pembayaran commitment fee formula e sesuai prosedur regulasi,netral,0.0
prasetyo ketua dprd dki gilbert simanjuntak komisi b dprd dkimereka berdua car,netral,0.0
keren bat ya jakarta tapal kuda jis formula e a,positif,0.35
pembangunan sirkuit formula e jakarta dipantau langsung panitia feonggak sabar lihat hasilnyapasti me,positif,0.1
intan sampe bertanya2 bangun sirkulasi formula e jakarta katan,netral,0.0
ketua dprd dki jakarta praktik ijon uang formula e penyelidikan diserahkan kpk,netral,0.0
kpk tegaskan mainmain usut dugaan korupsi formula e jakartakpk,netral,0.0
recehan kebanyakan sirkuit formula e selenggarakan jalanan kota promosi kein,positif,0.5
masyarakat dki jakarta tertawa dg partai inisirkuit formula e rampungmana ketua,positif,0.7
ancol dki jakarta rugi 392 m buka 600 m ms glow ribut formula e ri,netral,0.0
kpk tegaskan mainmain usut dugaan korupsi formula e jakarta,negatif,-0.1
sbg warga negara yg cinta indonesia bersyukur motogp bs lg d indonesia berharap kedepan,positif,0.25
id jakarta,netral,0.0
id jakarta,netral,0.0
pengen bikin utas pengalaman nonton formula e jakarta sirkuitnya jadisedih akutu,netral,0.0
maunya anies penontonnya pakai sepeda lipat pakai mobil sepeda motor kecepa,netral,0.0
ayo ri usut tuntas korupsi formula e bukti saksi korupsi melibatkan gubernur dki,netral,0.0
polri org hatinya puas2 acara formula e berjalan,positif,0.5
id jakarta,netral,0.0
dp 0 persen ga sesuai janji formula e ga suruh ngeruk kali ga,netral,0.0
id jakarta,netral,0.0
id jakarta,netral,0.0
sajak itukan perencanaan didalami jg transfe,netral,0.0
intan ya gpp cu selera orang mah beda motogp gak suka con,netral,0.0
recehan gitu jakarta indonesia jg ttp bangga formula e moto gp event bangga,positif,0.8
recehan banyakin googling,positif,0.5
recehan diceritain siihterlalu banyakharus bikin threadmau bikin lintas,netral,0.0
recehan dibaca,netral,0.0
resign stress jakarta formula e udah nampak kemewahanja,netral,0.0
tudingan prasetyo ketua dprd dki pinjaman rp 180 m bank dki utk formula epenjelasan anies p,netral,0.0
jkt tudingan prasetyo ketua,netral,0.0
manggis chantika asmara1701 idha,netral,0.0
intan kalo lihat kalender formula e 2022 jakarta yg lokasi resmi tracknya dim,netral,0.0
ketua dprd jakarta kali dipanggil kpk korupsi formula e akanterbongkar,netral,0.0
ketua dprd dki jakarta edy prasetyo ri panggil anies baswedan terkait surat kuasa pinjaman rp 180 milyar,netral,0.0
perencanaan yg gagal gubernur dki jakarta merugikan negara,negatif,-0.5
konsep lesehan sirkuit dunia akherat formula e jakarta,netral,0.0
sir pasrah bong gak serulah sdh ngakui jis sirkuit formula e indah rapinya,positif,0.22499999999999998
jack,netral,0.0
sesuai calender formula e jakarta tgl 4 juniapa iy kelar,netral,0.0
recehan ya standar formula e motogp ya beda sirkuit formula e paris aja sirkuit formula e jakarta,netral,0.0
recehan boss yg tanyain yg jakarta loh kau,netral,0.0
plt jubir komisi pemberantasan korupsi kpk ali fikri menutup memanggil gubernur dki jakart,negatif,-0.05
komisi pemberantasan korupsi kpk membuka peluang memanggil keterangan gubernur dki jakarta,netral,0.0
direktur cypr menilai pemanggilan ketua dprd jakarta kpk membongkar dugaan korupsi formula e,negatif,-0.1
baca komenmengenal formula e diselenggarakan jakarta,netral,0.0
formula e jakarta unik lagisirkuitnya dibangun pinggiran kotasalah keunikan formula e dib,positif,0.375
mending indo fokus motogp mandalika formula e aja gosah ambisius ngadain f1 mandalika be,positif,0.25
alasan bayar komitmen formula e langit jakarta,netral,0.0
berharap sirkuit formula e dipakai balapan kendaraan listrik gak lucu kampanye langit jaka,negatif,-0.125
idha,netral,0.0
komisi pemeriksaan korupsi kpk membuka memanggil gubernur dki jakarta anies baswedan dugaa,netral,0.0
design mobil formula e spt yg bikin penasaran berharap pengen nonton eprix jakarta semoga beneran,positif,0.05
semoga event formula e jakarta beneran terwujud brangkat nonton suka dg design mobil formula,netral,0.0
idha trus kl dah jd pembalap jakarta indonesia yg tampil formula epercuma anggaran milyaran,netral,0.0
tudingan prasetyo ketua dprd dki pinjaman rp 180 m bank dki utk formula epenjelasan anies penganggaran,netral,0.0
formula e kpk buka peluang memanggil memeriksa gubernur dki jakarta anies,netral,0.0
formula e kpk buka peluang memanggil memeriksa gubernur dki jakarta anies baswedan,netral,0.0
berharap formula e jakarta yg menyanyikan lagu indonesia raya,netral,0.0
ri indonesia ariya,netral,0.0
ketua dprd dki jakarta prasetyo edi mengungkap dugaan praktik ijon anggaran yg dikeluarkan,negatif,-0.1
digelar aja udh berbau piye,netral,0.0
ketua dprd dki jakarta praktik ijon uang formula e penyelidikan diserahkan kpk,netral,0.0
indo id,netral,0.0
persiapan penyelenggaraan balapan mobil listrik formula e ancol jakarta utara dikebut ditengah,netral,0.0
ya kartukartu tdk imingiming halu ngebohon,netral,0.0
dugaan korupsi proyek formula e kunjung terungkap warganet butuh pawang anggaran ketua dprd dki jakarta p,netral,0.0
mbaksri anggota dprd dki jakarta ramai 2 lapor tdk terlibat formula e,netral,0.0
dki jakarta ri ciumenduskooperatifcurigakelebihan bayarsetelah hilang s,negatif,-0.2
kalo org dukung mandalika motogp nolak formula e jakarta biased k,netral,0.0
tujuan anies mengundang 7 fraksi formula e biar paham ya sekelas wakil rakyat ndak,netral,0.0
idha sirkuit formula e kuda lumping modern tradisional andai sirkuit formula,positif,0.1
pinjaman rp 180 m bank dki penjelasan aniespenganggaran formula e diperiksa bp,netral,0.0
prasetyo edi marsudi mengaku ditekan terkait uang rp 180 miliar dikeluarkan pemerintah provinsi pemprov,netral,0.0
ketua dprd jakarta keterangan penyidik praktik commitment fee penyelenggaraan formula e,netral,0.0
ketua badan kehormatan bk dprd dki jakarta ahmad nawawi memegang hasil sidang dugaan p,netral,0.0
getol menentang formula e ketua dprd jakarta berhadapan kpk danbk,netral,0.0
mc idha beli tiketnya sukseskan formula e,netral,0.0
ri dikasih dana triliunan rupiah tahunnya beraninya pejabat didaerah korupsi nilainya,netral,0.0
ekokuntadhi tdk bangga banget formula e gelar jktmasalah nya pemprov dki jkt melakulan praktek,negatif,-0.4
dugaan korupsi formula e kpk panggil anies baswedan,negatif,-0.1
wakil gubernur dki jakarta ahmad riza patria mengklaim pengaspalan sirkuit formula e jakarta eprix 2022,netral,0.0
kpk memiliki peluang memanggil terkait menyelidiki dugaan korupsi pelaksanaan ajang balap formula,negatif,-0.05
dugaan korupsi formula e jakarta 2022 kpk panggil ketua dprd dki,negatif,-0.1
idha sirkuit formula e jakarta selesai dibangun jauh2 andai dihadang kir,netral,0.0
penolakan keras ketua dprd dki jakarta prasetyo edi marsudi pergelaran formula e jakarta membawanya ber,negatif,-0.2916666666666667
status penjualan tiket formula e jakarta berstatus not on sale pt jakarta propertindo jakp,netral,0.0
kpk mengusut dugaan korupsi formula e kemarin kpk memeriksa ketua dprd dki jakarta prasetyo edi,negatif,-0.1
alkhamdulillaah semoga terang benderang rakyat gigitan taringmu ri k,positif,0.7000000000000001
terkait dugaan korupsi formula e kpk periksa ketua dprd dki jakarta prasetyo edi marsudi,negatif,-0.1
5 calon pembalap jawara formula e series jakarta,netral,0.0
pemaniss mandalika sukses selenggarakan event motogp nya kritik membangunnya ancol in,positif,0.3
diperkisa kpk terkait dugaan korupsi formula e jakarta ketua dprd dki pinjaman rp 180miliar,negatif,-0.1
warga negara pimpinan dprd provinsi dki jakarta patuh keterangan,positif,0.4
indo id,netral,0.0
btw jis keren banget ya kelas,positif,0.35
proyek sirkuit formula e jakarta capai 80,netral,0.0
persiapannya mepet pribadi berharap penyelenggaraan formula e jakarta berjalan,netral,0.0
idha ah idha kau bikin bingung kemarin bilang formula e sukses digelar jakarta beda,negatif,-0.03333333333333335
idha jakarta sirkuit formula e lombok sirkuit moto gp dua2nya lolos standar fia kere,netral,0.0
commitment feeyg dibayarkan jakarta dibandingkan uang yg dibayarkan negara2 lainpenyelenggar,negatif,-0.125
hujan lebat plus angin jakarta barat kalo hujan kek gini pengerjaan lintasan formula e pake pawang hujan kagak ya,negatif,-0.2
kpk keterangan ketua dprd dki jakarta temukan pidana formula e,negatif,-0.4
ketua dprd dki jakarta prasetyo edi marsudi kpk memeriksa orang dianggap terlibat dugaan k,negatif,-0.1
kpk berpeluang memanggil terkait menyelidiki dugaan korupsi pelaksanaan ajang balap formula e salah sa,negatif,-0.3
ajang moto gp mandalika sukses gelar tunggu tunggu ajang formula e diadakan jakarta,positif,0.75
top news koran rakyat merdekamenyambangi proyek formula e treknya diaspal drainase dipasang kuda lu,positif,0.5
komisi pemberantasan korupsi kpk menyelidiki dugaan korupsi terkait pelaksanaan ajang balap internasional f,negatif,-0.03333333333333333
ketua dprd dki jakarta diperiksa kpk terkait formula e kabar petang tvone,netral,0.0
sirkuit kelas f1 jeddah 8 kompleksitas level f1,netral,0.0
badan kehormatan bk dprd dki jakarta mengumumkan hasil pemeriksaan ketua dprd dki prasetyo edi marsudi terka,netral,0.0
kpk keterangan ketua dprd dki jakarta temukan pidana formula e,negatif,-0.4
haaa tau ntar formula e jakarta,netral,0.0
bang kayaknya pawang ujan mandalika dibawa jakarta deh biar ga banjir formula e hehehe,netral,0.0
jakarta sukses menyelenggarakan formula e yg bangga nih orang jakarta sj,positif,0.775
formula e diurusi polusi jakarta gk diurusicuma numpang tren doang 2024,netral,0.0
ri seribu kali kasih data amp ksh keterangan ri ra,positif,0.5
